Name,DataType,InitValue,Comment,Attribute,DeviceType,Address
COIL_SYS_START_CMD,BOOL,,,,coil,8010
COIL_SYS_STOP_CMD,BOOL,,,,coil,8020
COIL_SYS_RESET_CMD,BOOL,,,,coil,8030
COIL_SYS_HAND_CMD,BOOL,,,,coil,8040
COIL_SYS_AUTO_CMD,BOOL,,,,coil,8050
COIL_SYS_INIT_CMD,BOOL,,,,coil,8060
COIL_UNILAB_SEND_MSG_SUCC_CMD,BOOL,,,,coil,8700
COIL_UNILAB_REC_MSG_SUCC_CMD,BOOL,,,,coil,8710
COIL_SYS_START_STATUS,BOOL,,,,coil,8210
COIL_SYS_STOP_STATUS,BOOL,,,,coil,8220
COIL_SYS_RESET_STATUS,BOOL,,,,coil,8230
COIL_SYS_HAND_STATUS,BOOL,,,,coil,8240
COIL_SYS_AUTO_STATUS,BOOL,,,,coil,8250
COIL_SYS_INIT_STATUS,BOOL,,,,coil,8260
COIL_REQUEST_REC_MSG_STATUS,BOOL,,,,coil,8510
COIL_REQUEST_SEND_MSG_STATUS,BOOL,,,,coil,8500
REG_MSG_ELECTROLYTE_USE_NUM,INT16,,,,hold_register,11000
REG_MSG_ELECTROLYTE_NUM,INT16,,,,hold_register,11002
REG_MSG_ELECTROLYTE_VOLUME,INT16,,,,hold_register,11004
REG_MSG_ASSEMBLY_TYPE,INT16,,,,hold_register,11006
REG_MSG_ASSEMBLY_PRESSURE,INT16,,,,hold_register,11008
REG_DATA_ASSEMBLY_COIN_CELL_NUM,INT16,,,,hold_register,10000
REG_DATA_OPEN_CIRCUIT_VOLTAGE,FLOAT32,,,,hold_register,10002
REG_DATA_AXIS_X_POS,FLOAT32,,,,hold_register,10004
REG_DATA_AXIS_Y_POS,FLOAT32,,,,hold_register,10006
REG_DATA_AXIS_Z_POS,FLOAT32,,,,hold_register,10008
REG_DATA_POLE_WEIGHT,FLOAT32,,,,hold_register,10010
REG_DATA_ASSEMBLY_PER_TIME,FLOAT32,,,,hold_register,10012
REG_DATA_ASSEMBLY_PRESSURE,INT16,,,,hold_register,10014
REG_DATA_ELECTROLYTE_VOLUME,INT16,,,,hold_register,10016
REG_DATA_COIN_NUM,INT16,,,,hold_register,10018
REG_DATA_ELECTROLYTE_CODE,STRING,,,,hold_register,10020
REG_DATA_COIN_CELL_CODE,STRING,,,,hold_register,10030
REG_DATA_STACK_VISON_CODE,STRING,,,,hold_register,12004
REG_DATA_GLOVE_BOX_PRESSURE,FLOAT32,,,,hold_register,10050
REG_DATA_GLOVE_BOX_WATER_CONTENT,FLOAT32,,,,hold_register,10052
REG_DATA_GLOVE_BOX_O2_CONTENT,FLOAT32,,,,hold_register,10054
